联通组播频道,#genre#
CCTV-3综艺,http://121.18.168.149/cache.ott.ystenlive.itv.cmvideo.cn:80/000000001000/7583927553614607925/1.m3u8?stbId=005301FF001589101611549359B9531C&channel-id=shvoolive&Contentid=7583927553614607925&mos=jbjhhzstsl&livemode=1&proto=7&version=1.0&owaccmark=7583927553614607925&owchid=shvoolive&owsid=4975061579531175360&AuthInfo=2TOfGIahP4HrGWrHbpJXVMtGfw%2Bi1RmSk6DRVWhSYHpPQhuPB3gB9HD2kYmj6h2ghYJH%2BZemKqNLOjvtazNyyelvyYAlIu0Li8OHrMDUf9T6xYM6NbVkTDG8Dli2hoZV
CCTV-4中文国际,http://121.18.168.149/cache.ott.ystenlive.itv.cmvideo.cn:80/000000001000/1000000002000031664/1.m3u8?channel-id=ystenlive&Contentid=1000000002000031664&livemode=1&stbId=00000250001B50800001B401420BC069&userToken=&usergroup=&version=1.0&owaccmark=1000000002000031664&owchid=ystenlive&owsid=4493204828580187354&AuthInfo=zmDeINsczUw%2bXOm6icTIplPJYM0PdJZ7nyJeCqAhmgD4h2W12vkSCe%2bw8qoQi5%2fj1BMuqFcEHMRAJlgQD47XRVqqHN3O4Si9Wv7MjAX%2b8AK0eHLMDmPByGK0oSB43DB7
CCTV-5体育,http://121.18.168.149/cache.ott.ystenlive.itv.cmvideo.cn:80/000000001000/8134369599538150431/1.m3u8?stbId=005301FF001589101611549359B91F12&channel-id=shvoolive&Contentid=8134369599538150431&mos=jbjhhzstsl&livemode=1&proto=7&version=1.0&owaccmark=8134369599538150431&owchid=shvoolive&owsid=9856681579531396965&AuthInfo=2TOfGIahP4HrGWrHbpJXVHgbCHVZZF5UUv019%2FSsh88KJM1EuxjKGjHOptOCA%2B9qy7SUSUSlFcfpzdjGKbaNwXQPpC5RWUW%2BWPXxlyqlAmmp3eZqD0kAJRbC1HQjeP48
CCTV-6电影,http://121.18.168.149/cache.ott.ystenlive.itv.cmvideo.cn:80/000000001000/6705015643145867202/1.m3u8?stbId=005301FF00158910000000212621A501&channel-id=shvoolive&Contentid=6705015643145867202&mos=jbjhhzstsl&livemode=1&proto=7&version=1.0&owaccmark=6705015643145867202&owchid=shvoolive&owsid=7641431579531463387&AuthInfo=2TOfGIahP4HrGWrHbpJXVGtyhHJPIcRRegoBYBxkr5gU2nvM3aYRu9pk6g1cfGsxitbm7ri6Y%2BkjLjny72IEdjBnss%2Faslq1wPHTyGHeHFYaAuxUDnXfdynLgAo%2FAhgd
CCTV-7国防军事,http://121.18.168.149/cache.ott.ystenlive.itv.cmvideo.cn:80/000000001000/9021776916726275968/1.m3u8?stbId=005303FF00010060000100E400EDD522&channel-id=shvoolive&Contentid=9021776916726275968&mos=jbjhhzstsl&livemode=1&proto=7&version=1.0&owaccmark=9021776916726275968&owchid=shvoolive&owsid=1117721579531499433&AuthInfo=dIshjDc3shv8ei%2BWF5V%2F4V6lf0HKCsUdpGR8CeY5ZvwycVHGQkBt0T4Mgr0s8ldsXtd9fDrW5osGZSl1tYFcN4xKXGPanSFGs4GR6kXBOyjKyNYEmAQ7njzvrMpDpEoy
CCTV-8电视剧,http://121.18.168.149/cache.ott.ystenlive.itv.cmvideo.cn:80/000000001000/6718199708332952607/1.m3u8?stbId=005303FF00010060000100E400EDD522&channel-id=shvoolive&Contentid=6718199708332952607&mos=jbjhhzstsl&livemode=1&proto=7&version=1.0&owaccmark=6718199708332952607&owchid=shvoolive&owsid=5415971579531545952&AuthInfo=dIshjDc3shv8ei%2BWF5V%2F4V6lf0HKCsUdpGR8CeY5ZvwhPD49%2ByoYvwp35mAdL%2Fiv3IhMa6%2BWOwlWxbCOH9ParUjWZpISKyxZZPoQtekRP1dMl%2BCp9T%2BIEdj1ckDKKfLV
CCTV-9记录,http://121.18.168.149/cache.ott.ystenlive.itv.cmvideo.cn:80/000000001000/1000000001000014583/1.m3u8?stbId=005303FF00010060000100E400EDD522&channel-id=ystenlive&Contentid=1000000001000014583&mos=jbjhhzstsl&livemode=1&version=1.0&owaccmark=1000000001000014583&owchid=ystenlive&owsid=7167961579531601678&AuthInfo=dIshjDc3shv8ei%2BWF5V%2F4V6lf0HKCsUdpGR8CeY5Zvyu3lLj0NrV6tPDBIsVEpn34sImpRHeOmdxmKUDLs1%2BcZ4JMWbvuFdY7IsuWCFdW392C%2BvFQjyH4LwQq4yRWFvT
CCTV-10科教,http://121.18.168.149/cache.ott.ystenlive.itv.cmvideo.cn:80/000000001000/5505774374187257095/1.m3u8?stbId=005301FF001589101611549359B928C9&channel-id=shvoolive&Contentid=5505774374187257095&mos=jbjhhzstsl&livemode=1&proto=7&version=1.0&owaccmark=5505774374187257095&owchid=shvoolive&owsid=1848841579531638041&AuthInfo=2TOfGIahP4HrGWrHbpJXVO9dhnpYCD6yZADsu%2BE3e1z0TmJ04Et2oauQoqLXutIbfy6yerDX1KNDnX4OGB2ZvZf3QlZMt7Oj%2B5HhHlpl0nNoTgXky6K2iYWb1eX3xCek
CCTV-11戏曲,http://121.18.168.149/cache.ott.ystenlive.itv.cmvideo.cn:80/000000001000/1000000002000019789/1.m3u8?stbId=005301FF001589101611549359B96031&channel-id=ystenlive&Contentid=1000000002000019789&mos=jbjhhzstsl&livemode=1&version=1.0&owaccmark=1000000002000019789&owchid=ystenlive&owsid=5070431579531812673&AuthInfo=2TOfGIahP4HrGWrHbpJXVDOD3a2KOxiKxQ3OD0iK1ACjKNizoRlMOkuvsTe1URoeoCCSRcfgLDg%2FiG7BT3%2BNlEIMer5%2BuzAqyByddFhoQVMoMRKerLoSM5qM9Az%2Bea7u
CCTV-12社会与法,http://121.18.168.149/cache.ott.ystenlive.itv.cmvideo.cn:80/000000001000/6417486185316863297/1.m3u8?stbId=005301FF001589101611549359B92F26&channel-id=shvoolive&Contentid=6417486185316863297&mos=jbjhhzstsl&livemode=1&proto=7&version=1.0&owaccmark=6417486185316863297&owchid=shvoolive&owsid=9153671579531878340&AuthInfo=2TOfGIahP4HrGWrHbpJXVPo6e%2BHF%2BrVo6xQQtyKDSurAX3PB%2FnVIr3xix20cl8xPdgGi1rpRM1DYWZnyEDgQSmvEeryqwyIWUPNfICRzKqmuU3YFsCIaBI4jHMacn12g
CCTV-13新闻,http://39.135.135.15:80/PLTV/88888888/224/3221225515/index.m3u8?#http://117.169.124.36:6610/ysten-businessmobile/live/cctv-13/1.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225508/index.m3u8#http://120.221.5.113:8089/PLTV/88888888/224/3221225949/index.m3u8
CCTV-13新闻,http://223.110.241.130:6610/gitv/live1/G_CCTV-13-HQ/.m3u8
CCTV-14少儿,http://121.18.168.149/cache.ott.ystenlive.itv.cmvideo.cn:80/000000001000/5554452538079056392/1.m3u8?stbId=005301FF001589101611549359B92F26&channel-id=shvoolive&Contentid=5554452538079056392&mos=jbjhhzstsl&livemode=1&proto=7&version=1.0&owaccmark=5554452538079056392&owchid=shvoolive&owsid=1386521579531934459&AuthInfo=2TOfGIahP4HrGWrHbpJXVPo6e%2BHF%2BrVo6xQQtyKDSuraKH2KM768ZNQcj3PAdtOdSSlj5RtbM3onnzvUC8Txgj%2BRYROAJoRcjfZ4YOPHclFuVVM2CqA1FqqLFpU5t7y%2B
CCTV-15音乐,http://121.18.168.149/cache.ott.ystenlive.itv.cmvideo.cn:80/000000001000/1000000002000008163/1.m3u8?stbId=005301FF00158910000000212621B0EF&channel-id=ystenlive&Contentid=1000000002000008163&mos=jbjhhzstsl&livemode=1&version=1.0&owaccmark=1000000002000008163&owchid=ystenlive&owsid=8159411579531758075&AuthInfo=2TOfGIahP4HrGWrHbpJXVCfBjPWQNL5VnKaoeN%2FnWIWjKNizoRlMOkuvsTe1URoev67GfI1oIH4w2vVjbaVRzv3Enx1RBixVDhCnZtdnlMixFs9te0%2Bpvr2OpfN5d0VT
CCTV-体育赛事,http://121.18.168.149/cache.ott.ystenlive.itv.cmvideo.cn:80/000000001000/1000000001000020505/1.m3u8?stbId=005301FF001589101611549359B92F26&channel-id=ystenlive&Contentid=1000000001000020505&mos=jbjhhzstsl&livemode=1&version=1.0&owaccmark=1000000001000020505&owchid=ystenlive&owsid=3007521579531929012&AuthInfo=2TOfGIahP4HrGWrHbpJXVPo6e%2BHF%2BrVo6xQQtyKDSuqu3lLj0NrV6tPDBIsVEpn3e3h8FJNoRfXgk2fJ%2B8A%2BC9FKxw7DogGmhnFazyXoBZJZPx01aV9Q%2Bs%2B%2FVnd4tZOQ
CCTV-17农业农村,http://121.18.168.149/cache.ott.ystenlive.itv.cmvideo.cn:80/000000001000/1000000005000056836/1.m3u8?stbId=005301FF001589101611549359B9325E&channel-id=ystenlive&Contentid=1000000005000056836&mos=jbjhhzstsl&livemode=1&version=1.0&owaccmark=1000000005000056836&owchid=ystenlive&owsid=9164551579532003738&AuthInfo=2TOfGIahP4HrGWrHbpJXVGO0L8hMYc%2BQSE26r5BPa9COQyZOTKfJypXfULnzEX8ov4wHfTVtjr5%2BH1gBPIHFdZVbPTqDjqKmcARryOXhfL7mPOk1Na7QiYpdWHg0hz19
CCTV-1综合,http://39.135.135.86:80/PLTV/88888888/224/3221225601/index.m3u8?icpid=88888888&from=1&hms_devid=145,1010&vqe=3
CCTV-2财经,http://39.135.135.52:80/PLTV/88888888/224/3221225691/index.m3u8?icpid=88888888&from=1&hms_devid=145,673&vqe=3
CCTV-5体育,http://39.135.135.77:80/PLTV/88888888/224/3221225606/index.m3u8?icpid=88888888&from=1&hms_devid=145,692&vqe=3
CCTV-体育赛事,http://39.134.66.66/PLTV/88888888/224/3221225590/index.m3u8
CCTV-7国防军事,http://39.134.66.66/PLTV/88888888/224/3221225671/index.m3u8
CCTV-9记录,http://39.135.135.77:80/PLTV/88888888/224/3221225676/index.m3u8?icpid=88888888&from=1&hms_devid=145,692&vqe=3
CCTV-10科技,http://39.134.66.66/PLTV/88888888/224/3221225677/index.m3u8
CCTV-11戏曲,http://39.135.138.58:18890/PLTV/88888910/224/3221225628/index.m3u8
CCTV-12社会与法,http://39.134.66.66/PLTV/88888888/224/3221225669/index.m3u8
CCTV-13新闻,http://39.135.138.60:18890/PLTV/88888910/224/3221225638/index.m3u8
CCTV-14少儿,http://39.134.66.66/PLTV/88888888/224/3221225674/index.m3u8
CCTV-15音乐,http://39.135.138.60:18890/PLTV/88888910/224/3221225641/index.m3u8
CCTV-17农业农村,http://39.135.135.29:80/PLTV/88888888/224/3221225708/index.m3u8?icpid=88888888&from=1&hms_devid=145,704&vqe=3
省内频道,#genre#
山东卫视,rtsp://112.230.194.71:1554/iptv/import/Tvod/iptv/001/001/ch15050916441119736372.rsc/89070_Uni.sdp
齐鲁卫视,rtsp://112.230.194.72:1554/iptv/import/Tvod/iptv/001/001/ch10120117223157422538.rsc/89114_Uni.sdp
山东影视,rtsp://112.230.194.76:1554/iptv/import/Tvod/iptv/001/001/ch10120117133527564831.rsc/89077_Uni.sdp
山东生活,rtsp://112.230.194.75:1554/iptv/import/Tvod/iptv/001/001/ch10120117100570561699.rsc/89105_Uni.sdp
山东综艺,rtsp://112.230.194.72:1554/iptv/import/Tvod/iptv/001/001/ch11012815051671532768.rsc/89009_Uni.sdp
山东体育,rtsp://112.230.194.76:1554/iptv/import/Tvod/iptv/001/001/ch10111720502861127519.rsc/89127_Uni.sdp
山东公共,rtsp://112.230.194.75:1554/iptv/import/Tvod/iptv/001/001/ch10120117023986249401.rsc/89036_Uni.sdp
山东农科,rtsp://112.230.194.71:1554/iptv/import/Tvod/iptv/001/001/ch11012815072111657053.rsc/89018_Uni.sdp
山东少儿,rtsp://112.230.194.72:1554/iptv/import/Tvod/iptv/001/001/ch11012815083626567264.rsc/89117_Uni.sdp
山东教育卫视,rtsp://112.230.194.72:1554/iptv/import/Tvod/iptv/001/001/ch10120118342495301658.rsc/89080_Uni.sdp
山东国际,rtsp://112.230.194.75:1554/iptv/import/Tvod/iptv/001/001/ch11030814464103605404.rsc/89072_Uni.sdp
济南生活,rtsp://112.230.194.76:1554/iptv/import/Tvod/iptv/001/001/ch13092911100548545353.rsc/89004_Uni.sdp
济南影视,rtsp://112.230.194.76:1554/iptv/import/Tvod/iptv/001/001/ch13092911103630864304.rsc/89025_Uni.sdp
济南娱乐,rtsp://112.230.194.76:1554/iptv/import/Tvod/iptv/001/001/ch13092911112795044370.rsc/89091_Uni.sdp
济南商务,rtsp://112.230.194.76:1554/iptv/import/Tvod/iptv/001/001/ch13032214555250188130.rsc/89010_Uni.sdp
济南少儿,rtsp://112.230.194.76:1554/iptv/import/Tvod/iptv/001/001/ch13092911120057744658.rsc/89111_Uni.sdp
济南教育,rtsp://112.230.194.76:1554/iptv/import/Tvod/iptv/001/001/ch18011914441082767208.rsc/89030_Uni.sdp
济南都市,rtsp://112.230.194.76:1554/iptv/import/Tvod/iptv/001/001/ch13092911092949699520.rsc/89059_Uni.sdp
济南鲁中,rtsp://112.230.194.76:1554/iptv/import/Tvod/iptv/001/001/ch16080416243269372727.rsc/89086_Uni.sdp
济南科教,rtsp://112.230.194.71:1554/iptv/import/Tvod/iptv/001/001/ch16080416264440891314.rsc/89050_Uni.sdp
济南新闻综合,rtsp://112.230.194.76:1554/iptv/import/Tvod/iptv/001/001/ch13092921272839762982.rsc/89042_Uni.sdp
卫视频道,#genre#
湖南卫视,rtsp://112.230.194.75:1554/iptv/import/Tvod/iptv/001/001/ch12051116352384581471.rsc/89115_Uni.sdp
浙江卫视,rtsp://112.230.194.76:1554/iptv/import/Tvod/iptv/001/001/ch15050917541521964962.rsc/89084_Uni.sdp
上海东方卫视,rtsp://112.230.194.75:1554/iptv/import/Tvod/iptv/001/001/ch15050917541568689826.rsc/89038_Uni.sdp
江苏卫视,rtsp://112.230.194.72:1554/iptv/import/Tvod/iptv/001/001/ch12051116384379542816.rsc/89099_Uni.sdp
北京卫视,rtsp://112.230.194.72:1554/iptv/import/Tvod/iptv/001/001/ch12051116365437815794.rsc/89064_Uni.sdp
安徽卫视,rtsp://112.230.194.75:1554/iptv/import/Tvod/iptv/001/001/ch15050917541532308683.rsc/89031_Uni.sdp
天津卫视,rtsp://112.230.194.76:1554/iptv/import/Tvod/iptv/001/001/ch15050917541659846769.rsc/89129_Uni.sdp
辽宁卫视,rtsp://112.230.194.76:1554/iptv/import/Tvod/iptv/001/001/ch15050917541756096231.rsc/89054_Uni.sdp
深圳卫视,rtsp://112.230.194.72:1554/iptv/import/Tvod/iptv/001/001/ch12051116392957055081.rsc/89107_Uni.sdp
东南卫视,rtsp://112.230.194.76:1554/iptv/import/Tvod/iptv/001/001/ch17082318094203998689.rsc/89065_Uni.sdp
湖北卫视,rtsp://112.230.194.76:1554/iptv/import/Tvod/iptv/001/001/ch15050917541519800547.rsc/89123_Uni.sdp
广东卫视,rtsp://112.230.194.76:1554/iptv/import/Tvod/iptv/001/001/ch15050917541650823873.rsc/89112_Uni.sdp
黑龙江卫视,rtsp://112.230.194.72:1554/iptv/import/Tvod/iptv/001/001/ch12051116400952898093.rsc/89019_Uni.sdp
贵州卫视,rtsp://112.230.194.76:1554/iptv/import/Tvod/iptv/001/001/ch17121814402415050847.rsc/89006_Uni.sdp
河北卫视,rtsp://112.230.194.72:1554/iptv/import/Tvod/iptv/001/001/ch17121814385494126166.rsc/89035_Uni.sdp
重庆卫视,rtsp://112.230.194.76:1554/iptv/import/Tvod/iptv/001/001/ch10120118293449046768.rsc/89024_Uni.sdp
海南卫视,rtsp://112.230.194.76:1554/iptv/import/Tvod/iptv/001/001/ch10120116181598810422.rsc/89022_Uni.sdp
四川卫视,rtsp://112.230.194.76:1554/iptv/import/Tvod/iptv/001/001/ch11122400393964414144.rsc/89015_Uni.sdp
云南卫视,rtsp://112.230.194.76:1554/iptv/import/Tvod/iptv/001/001/ch10120116144658191615.rsc/89067_Uni.sdp
河南卫视,rtsp://112.230.194.72:1554/iptv/import/Tvod/iptv/001/001/ch10120118312827983078.rsc/89029_Uni.sdp
江西卫视,rtsp://112.230.194.72:1554/iptv/import/Tvod/iptv/001/001/ch10120118345500084693.rsc/89056_Uni.sdp
广西卫视,rtsp://112.230.194.72:1554/iptv/import/Tvod/iptv/001/001/ch10120114524702485505.rsc/89002_Uni.sdp
吉林卫视,rtsp://112.230.194.72:1554/iptv/import/Tvod/iptv/001/001/ch10120116035123677506.rsc/89106_Uni.sdp
山西卫视,rtsp://112.230.194.76:1554/iptv/import/Tvod/iptv/001/001/ch10120118303484157828.rsc/89037_Uni.sdp
陕西卫视,rtsp://112.230.194.76:1554/iptv/import/Tvod/iptv/001/001/ch10120118332130518297.rsc/89046_Uni.sdp
内蒙古卫视,rtsp://112.230.194.72:1554/iptv/import/Tvod/iptv/001/001/ch10120118290217488762.rsc/89068_Uni.sdp
宁夏卫视,rtsp://112.230.194.72:1554/iptv/import/Tvod/iptv/001/001/ch10120118321878054010.rsc/89118_Uni.sdp
新疆卫视,rtsp://112.230.194.76:1554/iptv/import/Tvod/iptv/001/001/ch10120118204473437661.rsc/89023_Uni.sdp
甘肃卫视,rtsp://112.230.194.72:1554/iptv/import/Tvod/iptv/001/001/ch10120118361020628945.rsc/89048_Uni.sdp
青海卫视,rtsp://112.230.194.72:1554/iptv/import/Tvod/iptv/001/001/ch10120118273518671654.rsc/89097_Uni.sdp
西藏卫视,rtsp://112.230.194.72:1554/iptv/import/Tvod/iptv/001/001/ch10120116213780720306.rsc/89061_Uni.sdp
厦门卫视,rtsp://112.230.194.76:1554/iptv/import/Tvod/iptv/001/001/ch17120418140581348001.rsc/89021_Uni.sdp
三沙卫视,rtsp://112.230.194.72:1554/iptv/import/Tvod/iptv/001/001/ch19120615372589393337.rsc/89555_Uni.sdp
兵团卫视,rtsp://112.230.194.76:1554/iptv/import/Tvod/iptv/001/001/ch10120116250568011708.rsc/89008_Uni.sdp
农林卫视,rtsp://112.230.194.76:1554/iptv/import/Tvod/iptv/001/001/ch10120118335748437793.rsc/89028_Uni.sdp
海看频道,#genre#
海看热播【1080HD】,rtsp://112.230.194.72:1554/iptv/import/Tvod/iptv/001/001/ch16051316174673479081.rsc/89001_Uni.sdp
海看电竞【1080HD】,rtsp://112.230.194.72:1554/iptv/import/Tvod/iptv/001/001/ch17121814421621825244.rsc/89039_Uni.sdp
海看爱宠【1080HD】,rtsp://112.230.194.71:1554/iptv/import/Tvod/iptv/001/001/ch16051316234089749497.rsc/88992_Uni.sdp
海看少儿【1080HD】,rtsp://112.230.194.72:1554/iptv/import/Tvod/iptv/001/001/ch16051316300118213959.rsc/89075_Uni.sdp
海看剧场【1080HD】,rtsp://112.230.194.71:1554/iptv/import/Tvod/iptv/001/001/ch16051316281593708406.rsc/89132_Uni.sdp
海看大片【1080HD】,rtsp://112.230.194.71:1554/iptv/import/Tvod/iptv/001/001/ch16051316264757381898.rsc/88996_Uni.sdp
海看演艺【720】,rtsp://112.230.194.71:1554/iptv/import/Tvod/iptv/001/001/ch16051316370413715540.rsc/89016_Uni.sdp
海看教育【720】,rtsp://112.230.194.76:1554/iptv/import/Tvod/iptv/001/001/ch16051316213602697345.rsc/88999_Uni.sdp
海看健康【720】,rtsp://112.230.194.72:1554/iptv/import/Tvod/iptv/001/001/ch16051316323130170719.rsc/89014_Uni.sdp
影视其他频道,#genre#
CHC家庭影院【1080HD】,rtsp://112.230.194.76:1554/iptv/import/Tvod/iptv/001/001/ch18120514091718394256.rsc/89087_Uni.sdp
CHC动作电影【1080HD】,rtsp://112.230.194.75:1554/iptv/import/Tvod/iptv/001/001/ch18120514100139517699.rsc/89012_Uni.sdp
CHC高清电影【1080HD】,rtsp://112.230.194.71:1554/iptv/import/Tvod/iptv/001/001/ch18120514102191199606.rsc/89076_Uni.sdp
HBO原创巨献,http://uhu.vip-vip.shop/免TV88888888/台探新电香/电影.index.m3u8/?1080=23
HBO高清亚洲,http://uhu.vip-vip.shop/免TV88888888/台探新电香/电影.index.m3u8/?1080=20
HBO温馨家庭,http://uhu.vip-vip.shop/免TV88888888/台探新电香/电影.index.m3u8/?1080=21
HBO强档巨献,http://uhu.vip-vip.shop/免TV88888888/台探新电香/电影.index.m3u8/?1080=22
金鹰纪实【1080HD】,rtsp://112.230.194.72:1554/iptv/import/Tvod/iptv/001/001/ch15050917541337365144.rsc/89089_Uni.sdp
iPanda爱熊猫【1080HD】,rtsp://112.230.194.72:1554/iptv/import/Tvod/iptv/001/001/ch15111015450571726043.rsc/88997_Uni.sdp
IPTV5+【1080HD】,rtsp://112.230.194.72:1554/iptv/import/Tvod/iptv/001/001/ch17120418224162657206.rsc/89082_Uni.sdp
爱上4K【1080HD】,rtsp://124.128.255.245:1554/iptv/import/Tvod/iptv/001/001/ch16062014270602375204.rsc/72891_Uni.sdp
体育赛事【1080HD】,rtsp://112.230.194.76:1554/iptv/import/Tvod/iptv/001/001/ch19120615375703234003.rsc/89611_Uni.sdp
CETV-1【1080HD】,rtsp://112.230.194.76:1554/iptv/import/Tvod/iptv/001/001/ch17120418204481298161.rsc/89096_Uni.sdp
CETV-2【720】,rtsp://112.230.194.76:1554/iptv/import/Tvod/iptv/001/001/ch17120417211408620162.rsc/89101_Uni.sdp
CETV-4【720】,rtsp://112.230.194.76:1554/iptv/import/Tvod/iptv/001/001/ch17120418055568047747.rsc/89109_Uni.sdp
金鹰卡通【720】,rtsp://112.230.194.76:1554/iptv/import/Tvod/iptv/001/001/ch11122400412227153064.rsc/89049_Uni.sdp
北京卫视少儿频道【720】,rtsp://112.230.194.72:1554/iptv/import/Tvod/iptv/001/001/ch10120118400576795406.rsc/89128_Uni.sdp
优漫卡通【720】,rtsp://112.230.194.72:1554/iptv/import/Tvod/iptv/001/001/ch11042914374730524823.rsc/89044_Uni.sdp
哈哈炫动【720】,rtsp://112.230.194.76:1554/iptv/import/Tvod/iptv/001/001/ch11122400404197907033.rsc/89083_Uni.sdp
嘉佳卡通【720】,rtsp://112.230.194.72:1554/iptv/import/Tvod/iptv/001/001/ch15050917541249689380.rsc/89122_Uni.sdp
IPTV收视指南【720】,rtsp://112.230.194.72:1554/iptv/import/Tvod/iptv/001/001/ch11061217035832697899.rsc/89055_Uni.sdp
IPTV热播剧场【720】,rtsp://112.230.194.75:1554/iptv/import/Tvod/iptv/001/001/ch11060317301148954080.rsc/89062_Uni.sdp
IPTV经典电影【720】,rtsp://112.230.194.71:1554/iptv/import/Tvod/iptv/001/001/ch11060317313622161494.rsc/89090_Uni.sdp
IPTV少儿动画【720】,rtsp://112.230.194.75:1554/iptv/import/Tvod/iptv/001/001/ch11061217221377842336.rsc/89094_Uni.sdp
IPTV相声小品【720】,rtsp://112.230.194.71:1554/iptv/import/Tvod/iptv/001/001/ch13031310531244319435.rsc/89120_Uni.sdp
IPTV魅力时尚【720】,rtsp://112.230.194.71:1554/iptv/import/Tvod/iptv/001/001/ch11061217095691862636.rsc/89033_Uni.sdp
IPTV野外频道【720】,rtsp://112.230.194.71:1554/iptv/import/Tvod/iptv/001/001/ch13031310535009021862.rsc/89121_Uni.sdp
IPTV法治频道【720】,rtsp://112.230.194.71:1554/iptv/import/Tvod/iptv/001/001/ch13031310542255942002.rsc/89078_Uni.sdp
IPTV谍战剧场【720】,rtsp://112.230.194.72:1554/iptv/import/Tvod/iptv/001/001/ch13031310523562855603.rsc/89130_Uni.sdp
IPTV3+【720】,rtsp://112.230.194.72:1554/iptv/import/Tvod/iptv/001/001/ch11061217211688091136.rsc/89041_Uni.sdp
IPTV5+【720】,rtsp://112.230.194.76:1554/iptv/import/Tvod/iptv/001/001/ch11060317323358720349.rsc/89003_Uni.sdp
IPTV6+【720】,rtsp://112.230.194.76:1554/iptv/import/Tvod/iptv/001/001/ch11061217105732492560.rsc/89058_Uni.sdp
